City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Alekseyevskaya,RU,2020-10-22 02:04:49,50.29,42.18,39.0,79,100,5.01
250,Barranca,PE,2020-10-22 02:04:50,-10.75,-77.77,60.94,91,46,6.73
251,Turkmenabat,TM,2020-10-22 02:04:50,39.07,63.58,51.8,50,23,9.17
252,Hobyo,SO,2020-10-22 01:58:18,5.35,48.53,79.39,84,0,17.6
253,Vila Do Maio,CV,2020-10-22 02:04:50,15.13,-23.22,80.6,74,20,17.22
254,Hammerfest,NO,2020-10-22 02:00:04,70.66,23.68,27.64,94,0,12.46
255,Cesena,IT,2020-10-22 02:04:51,44.14,12.24,57.0,87,17,3.36
256,Pangnirtung,CA,2020-10-22 01:58:31,66.15,-65.71,28.4,86,90,5.82
257,Batticaloa,LK,2020-10-22 02:04:51,7.71,81.69,81.55,66,0,4.12
258,Kargasok,RU,2020-10-22 01:59:07,59.06,80.86,35.98,92,100,5.79
259,Dingle,PH,2020-10-22 02:04:52,11.0,122.67,85.69,75,51,13.11
260,Geraldton,AU,2020-10-22 02:04:28,-28.77,114.6,69.8,52,0,8.05
261,Mayumba,GA,2020-10-22 01:58:11,-3.43,10.66,76.14,90,100,4.76
262,Sajanan,TN,2020-10-22 02:04:52,37.06,9.24,69.8,35,20,5.82
263,Goundi,TD,2020-10-22 02:04:52,9.36,17.37,72.88,83,83,4.29
264,Santo Antonio De Jesus,BR,2020-10-22 02:01:28,-12.97,-39.26,69.1,97,35,3.02
265,Sire,NG,2020-10-22 02:04:53,12.93,5.2,77.65,29,0,2.13
266,Arlit,NE,2020-10-22 01:59:18,18.74,7.39,83.14,14,0,3.47
267,Rocafuerte,EC,2020-10-22 02:04:53,-0.92,-80.43,73.4,78,40,10.29
268,Leshukonskoye,RU,2020-10-22 02:04:54,64.9,45.76,22.21,98,62,2.51
269,Kutum,SD,2020-10-22 02:04:54,14.2,24.67,71.69,20,0,11.81
270,Ginir,ET,2020-10-22 02:04:54,7.13,40.7,55.87,81,1,5.01
271,Jardim,BR,2020-10-22 01:57:22,-21.48,-56.14,77.67,68,72,3.15
272,Zaysan,KZ,2020-10-22 01:58:21,47.47,84.87,50.49,41,0,3.96
273,Ostrovnoy,RU,2020-10-22 01:58:59,68.05,39.51,29.39,97,98,5.75
274,Nanortalik,GL,2020-10-22 01:58:07,60.14,-45.24,33.85,85,75,27.54
275,Touros,BR,2020-10-22 01:57:18,-5.2,-35.46,75.2,100,75,4.7
276,Breytovo,RU,2020-10-22 02:04:56,58.3,37.86,32.5,97,47,7.18
